Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
3.6,8.0,,,,8.0,8.0,7.75,2.4,,7.92,,,24.0,14.0,
3.6,6.5,,,,3.5,5.25,8.0,3.2,,5.58,,,15.25,,
5.4,7.0,,,,3.75,6.75,8.25,2.4,,6.25,,,17.5,,
5.6,5.75,5.25,3.25,4.5,,,,3.6,4.33,,14.1,13.35,,,14.45
5.2,6.0,4.25,3.0,3.25,,,,4.2,3.5,,12.45,11.45,,,13.65
4.8,5.5,3.5,3.75,4.25,,,,3.0,3.83,,12.05,12.8,,,11.3
4.2,6.75,2.75,2.75,3.75,,,,3.0,3.08,,9.7,10.7,,,9.95
7.6,6.25,6.0,2.75,6.0,,,,6.2,4.92,,16.35,16.35,,,19.8
5.4,6.25,6.5,5.25,6.5,,,,4.4,6.08,,17.15,17.15,,,16.3
6.0,6.0,3.5,4.25,5.0,,,,2.6,4.25,,13.75,15.25,,,12.1
4.2,7.75,2.0,4.75,3.5,,,,3.4,3.42,,10.95,12.45,,,9.6
6.0,7.5,3.75,4.0,5.75,,,,2.6,4.5,,13.75,15.75,,,12.35
7.0,4.5,4.0,7.25,6.5,,,,3.6,5.92,,18.25,20.75,,,14.6
3.8,6.25,3.0,3.0,3.75,,,,3.6,3.25,,9.8,10.55,,,10.4
6.4,3.75,3.5,4.5,7.5,,,,3.4,5.17,,14.4,18.4,,,13.3
4.0,5.5,,,,4.0,5.25,7.0,3.6,,5.42,,,14.75,,
2.8,5.75,,,,3.5,3.5,4.0,3.0,,3.67,,,12.75,,
3.6,7.25,,,,5.75,5.0,6.0,2.4,,5.58,,,18.0,,
4.4,7.0,,,,3.75,6.0,8.25,2.6,,6.0,,,16.75,14.0,
3.0,5.0,,,,2.25,6.75,7.25,3.2,,5.42,,,14.0,,
2.2,4.5,,,,2.25,5.25,5.75,1.8,,4.42,,,12.0,,
6.0,,5.25,5.5,,,,,,,,16.75,,,,
2.2,3.5,,,,3.0,5.75,,,,,,,12.25,,
4.0,8.5,,,,8.0,7.0,,,,,,,23.5,,
1.8,3.5,,,,2.5,1.75,,,,,,,7.75,,
,7.75,,,,5.5,7.0,,,,,,,20.25,,
,8.0,,,,6.25,8.75,,,,,,,23.0,,
2.8,4.0,,,,2.25,4.5,,,,,,,10.75,,
2.2,3.75,,,,3.5,3.25,,,,,,,10.5,,
2.4,5.25,,,,2.0,4.75,,,,,,,12.0,,
4.8,5.75,,,,2.0,6.0,,,,,,,13.75,,
2.8,3.25,,,,3.0,4.5,,,,,,,10.75,,
3.0,2.0,,,,2.5,4.25,,,,,,,8.75,,
3.0,2.75,,,,3.0,5.5,5.75,2.4,,4.75,,,11.25,,
2.4,2.0,,,,3.5,4.25,,,,,,,9.75,,
2.0,3.5,,,,4.5,5.0,,,,,,,13.0,,
3.4,6.5,,,,4.25,6.0,7.5,3.4,,5.92,,,16.75,,
5.2,7.5,,,,5.25,4.5,7.0,4.8,,5.58,,,17.25,,
4.0,6.75,4.0,2.25,3.75,,,,2.6,3.33,,10.25,10.0,,,10.6
3.8,7.75,,,,4.25,5.75,8.0,1.6,,6.0,,,17.75,,
6.8,7.0,6.5,7.0,4.75,,,,4.0,6.08,,20.3,18.55,,,17.3
5.6,,4.5,5.25,6.0,,,,,5.25,,15.35,16.85,,,
5.4,8.5,,,,3.25,6.75,7.75,6.8,,5.92,,,18.5,,
1.4,4.0,,,,3.0,4.5,5.25,1.8,,4.25,,,11.5,,
3.0,4.0,,,,3.75,4.75,5.25,3.4,,4.58,,,12.5,,
2.6,6.0,,,,3.75,5.75,7.0,2.2,,5.5,,,15.5,,
2.6,7.0,,,,4.0,6.25,6.25,2.4,,5.5,,,17.25,12.0,
3.6,7.0,,,,3.5,5.5,6.25,2.4,,5.08,,,16.0,13.0,
3.8,3.5,,,,3.25,3.75,5.0,3.0,,4.0,,,10.5,,
2.6,6.25,,,,5.5,4.75,8.25,3.0,,6.17,,,16.5,,
5.2,3.5,,,,3.75,5.75,7.75,1.8,,5.75,,,13.0,,
3.8,3.25,,,,3.0,4.0,6.75,3.0,,4.58,,,10.25,,
2.2,3.0,,,,4.25,5.75,6.0,2.6,,5.33,,,13.0,,
2.6,4.25,,,,2.25,6.5,7.5,2.6,,5.42,,,13.0,,
