Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
4.6,6.0,3.75,3.0,3.75,3.5,6.0,7.0,3.8,3.5,5.5,11.35,11.35,15.5,,12.15
3.4,5.0,,,,3.0,5.5,,,,,,,13.5,,
2.6,2.5,,,,2.25,2.5,,,,,,,7.25,,
5.6,7.5,,,,,,,3.0,,,,,,,
,8.75,,,,7.25,6.75,,,,,,,22.75,,
3.4,4.5,,,,2.75,3.0,,,,,,,10.25,,
,8.0,,,,4.75,5.0,8.5,3.6,,6.08,,,17.75,,
1.8,5.25,,,,3.0,5.0,8.0,2.6,,5.33,,,13.25,,
2.6,7.75,,,,3.5,5.0,6.75,2.8,,5.08,,,16.25,,
2.8,3.75,,,,3.25,3.25,5.0,2.0,,3.83,,,10.25,,
2.6,2.0,3.5,2.5,3.25,,,,1.6,3.08,,8.6,8.35,,,7.7
3.4,6.75,3.5,2.75,2.5,5.5,6.25,,,2.92,,9.65,8.65,18.5,,
2.2,3.25,,,,1.75,4.25,3.75,3.0,,3.25,,,9.25,,
3.4,5.0,,,,2.5,5.25,5.75,3.0,,4.5,,,12.75,,
3.0,3.75,,,,3.0,4.75,6.5,2.6,,4.75,,,11.5,,
5.2,4.75,,,,1.5,5.5,7.0,1.4,,4.67,,,11.75,,
1.8,5.75,,,,3.0,4.75,7.5,1.8,,5.08,,,13.5,,
3.2,7.0,,,,4.25,5.75,7.75,2.0,,5.92,,,17.0,,
2.6,5.0,,,,3.25,4.75,5.25,3.0,,4.42,,,13.0,,
4.6,6.5,,,,3.75,6.25,7.75,3.0,,5.92,,,16.5,,
4.0,7.0,,,,2.75,6.75,8.25,3.6,,5.92,,,16.5,,
4.4,8.5,,,,3.75,6.0,9.25,4.6,,6.33,,,18.25,,
4.4,8.5,,,,4.25,5.5,7.75,3.4,,5.83,,,18.25,,
5.6,7.5,,,,3.25,5.75,6.5,2.2,,5.17,,,16.5,,
3.2,7.25,,,,3.0,6.0,5.75,3.8,,4.92,,,16.25,,
3.6,4.5,,,,3.75,5.75,8.0,3.4,,5.83,,,14.0,,
4.2,6.5,,,,6.75,7.75,7.75,3.2,,7.42,,,21.0,,
5.6,7.0,,,,5.5,7.5,8.75,3.6,,7.25,,,20.0,,
3.8,5.75,,,,3.0,7.0,7.25,3.4,,5.75,,,15.75,,
