Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
6.0,7.5,4.75,5.25,6.75,,,,6.0,5.58,,16.0,18.0,,,16.75
6.2,4.0,6.75,6.75,6.25,,,,6.2,6.58,,19.7,19.2,,,19.15
4.2,5.0,4.0,3.5,5.0,,,,5.2,4.17,,11.7,12.7,,,13.4
4.8,6.75,,,,5.25,5.25,7.5,3.6,,6.0,,,17.25,,
5.2,6.5,4.25,5.5,7.5,,,,4.4,5.75,,14.95,18.2,,,13.85
4.8,5.75,5.5,6.0,3.5,,,,3.4,5.0,,16.3,14.3,,,13.7
5.8,5.5,4.5,3.5,4.75,,,,3.8,4.25,,13.8,14.05,,,14.1
5.8,7.75,4.25,4.75,4.75,,,,4.8,4.58,,14.8,15.3,,,14.85
4.4,6.0,,,,4.5,6.5,7.75,3.0,,6.25,,,17.0,,
3.8,6.75,,,,4.25,5.75,7.25,2.4,,5.75,,,16.75,,
3.6,5.0,,,,2.5,5.5,7.5,3.0,,5.17,,,13.0,,
5.6,5.0,,,,4.25,4.5,6.25,3.0,,5.0,,,13.75,,
3.0,6.5,,,,4.25,4.5,7.75,3.6,,5.5,,,15.25,,
5.6,6.0,,,,4.75,7.0,9.0,5.2,,6.92,,,17.75,,
6.0,6.25,,,,4.5,6.25,8.75,4.2,,6.5,,,17.0,,
4.0,4.5,,,,3.75,5.5,6.25,2.4,,5.17,,,13.75,,
4.4,6.5,,,,3.75,7.0,7.0,3.6,,5.92,,,17.25,,
6.0,4.25,,,,3.75,7.75,7.75,2.6,,6.42,,,15.75,,
4.0,6.0,,,,3.5,6.5,7.5,2.6,,5.83,,,16.0,,
3.4,5.0,,,,3.25,4.0,8.75,3.4,,5.33,,,12.25,,
5.4,4.5,,,,4.25,5.5,6.75,3.2,,5.5,,,14.25,,
5.4,6.25,,,,4.75,5.0,8.0,4.2,,5.92,,,16.0,,
5.8,5.5,6.0,4.25,4.75,,,,5.0,5.0,,16.05,14.8,,,16.8
5.2,5.25,6.0,4.5,5.25,,,,3.0,5.25,,15.7,14.95,,,14.2
5.2,5.25,5.25,3.75,4.0,,,,4.6,4.33,,14.2,12.95,,,15.05
4.6,6.25,3.0,4.25,4.25,,,,5.2,3.83,,11.85,13.1,,,12.8
4.6,3.0,4.25,4.0,5.25,,,,3.8,4.5,,12.85,13.85,,,12.65
5.8,6.0,,,,2.75,6.0,8.75,3.8,,5.83,,,14.75,,
4.0,5.75,,,,3.25,6.25,7.25,3.0,,5.58,,,15.25,,
3.2,5.25,,,,2.0,4.5,4.75,4.2,,3.75,,,11.75,,
5.8,6.25,,,,5.5,6.25,8.75,2.8,,6.83,,,18.0,,
5.8,6.25,,,,3.5,5.5,8.0,4.6,,5.67,,,15.25,,
4.4,6.25,,,,2.5,6.0,8.0,1.6,,5.5,,,14.75,,
5.2,5.75,,,,6.25,8.0,8.5,4.2,,7.58,,,20.0,,
4.2,5.0,,,,1.75,5.0,7.75,2.2,,4.83,,,11.75,,
5.8,6.5,,,,1.5,4.5,7.0,2.8,,4.33,,,12.5,,
5.2,7.5,,,,4.25,7.75,7.5,3.8,,6.5,,,19.5,,
6.4,6.75,,,,6.25,7.5,9.25,5.8,,7.67,,,20.5,,
5.4,7.5,,,,5.25,6.5,9.25,5.4,,7.0,,,19.25,,
3.8,5.25,,,,2.5,3.25,4.75,3.4,,3.5,,,11.0,,
4.4,4.25,,,,3.25,5.75,7.0,2.6,,5.33,,,13.25,,
5.2,5.25,,,,3.5,6.5,6.5,3.4,,5.5,,,15.25,,
6.0,5.5,4.0,4.5,4.0,,,,5.2,4.17,,14.5,14.5,,,15.2
5.6,6.67,4.75,4.0,5.25,,,,7.4,4.67,,14.35,14.85,,,17.75
6.2,5.0,6.5,7.0,5.25,,,,6.6,6.25,,19.7,18.45,,,19.3
4.8,5.75,4.75,2.0,6.0,,,,2.6,4.25,,11.55,12.8,,,12.15
4.2,6.25,3.5,3.0,4.0,,,,5.2,3.5,,10.7,11.2,,,12.9
