Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
6.4,7.75,6.25,6.25,5.25,,,,4.6,5.92,,18.9,17.9,,,17.25
4.0,5.5,3.25,3.75,2.75,,,,2.8,3.25,,11.0,10.5,,,10.05
5.0,6.75,4.5,6.75,6.0,,,,4.6,5.75,,16.25,17.75,,,14.1
5.8,7.0,3.75,5.25,7.5,,,,4.0,5.5,,14.8,18.55,,,13.55
4.6,4.5,3.0,3.25,3.25,,,,3.6,3.17,,10.85,11.1,,,11.2
4.0,6.0,3.75,2.75,3.75,,,,4.2,3.42,,10.5,10.5,,,11.95
4.4,6.25,6.0,4.25,4.75,,,,3.0,5.0,,14.65,13.4,,,13.4
4.6,3.75,2.25,4.25,4.5,,,,3.0,3.67,,11.1,13.35,,,9.85
3.6,7.5,2.75,3.0,3.5,,,,1.8,3.08,,9.35,10.1,,,8.15
2.6,6.5,,,,3.25,4.0,7.0,2.8,,4.75,,,13.75,,
6.4,7.5,7.0,6.0,4.75,,,,4.8,5.92,,19.4,17.15,,,18.2
5.4,8.25,5.75,6.25,6.5,,,,2.8,6.17,,17.4,18.15,,,13.95
4.0,7.25,,,,4.5,6.5,7.5,3.2,,6.17,,,18.25,,
2.6,5.5,,,,4.0,4.5,6.25,3.4,,4.92,,,14.0,,
5.8,7.0,5.5,6.0,5.5,,,,3.0,5.67,,17.3,17.3,,,14.3
7.2,7.0,6.75,8.0,7.5,,,,5.2,7.42,,21.95,22.7,,,19.15
5.0,7.25,6.25,4.5,4.75,,,,3.2,5.17,,15.75,14.25,,,14.45
3.8,5.5,4.75,4.5,4.0,,,,2.4,4.42,,13.05,12.3,,,10.95
2.8,6.75,,,,3.25,4.0,7.0,2.0,,4.75,,,14.0,,
5.6,8.0,5.0,5.25,5.25,,,,5.8,5.17,,15.85,16.1,,,16.4
5.4,8.25,5.5,5.75,4.5,,,,4.2,5.25,,16.65,15.65,,,15.1
7.2,6.75,7.0,7.0,6.25,,,,2.4,6.75,,21.2,20.45,,,16.6
6.0,6.25,5.25,5.25,5.5,,,,4.0,5.33,,16.5,16.75,,,15.25
3.4,6.25,3.0,2.5,5.0,,,,2.2,3.5,,8.9,10.9,,,8.6
