Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
4.0,6.5,,,,3.5,7.0,7.25,3.4,,5.92,,,17.0,,
3.4,4.75,,,,2.75,4.5,7.75,2.2,,5.0,,,12.0,,
3.4,3.5,3.75,2.25,3.75,4.5,4.0,6.0,4.0,3.25,4.83,9.4,9.4,12.0,,11.15
3.6,3.0,1.75,3.5,4.25,3.25,4.0,6.0,2.4,3.17,4.42,8.85,11.35,10.25,9.0,7.75
7.2,4.5,4.75,5.75,2.75,,,,2.6,4.42,,17.7,15.7,,,14.55
4.0,2.5,1.5,2.25,2.0,4.0,3.75,7.5,1.4,1.92,5.08,7.75,8.25,10.25,,6.9
5.6,5.25,4.0,4.5,3.25,,,,3.4,3.92,,14.1,13.35,,,13.0
7.4,6.25,7.5,4.25,4.5,,,,7.4,5.42,,19.15,16.15,,,22.3
4.2,4.0,6.25,4.5,4.5,,,,2.6,5.08,,14.95,13.2,,,13.05
5.4,3.25,4.25,4.5,3.75,3.75,6.25,9.0,4.8,4.17,6.33,14.15,13.65,13.25,,14.45
3.4,4.5,,,,3.25,5.25,7.5,2.2,,5.33,,,13.0,,
3.8,6.75,,,,2.0,4.5,6.25,4.0,,4.25,,,13.25,,
2.6,3.75,,,,3.0,3.5,4.25,2.8,,3.58,,,10.25,,
3.2,5.25,,,,3.5,7.25,7.0,2.6,,5.92,,,16.0,,
5.6,7.5,,,,2.5,6.5,8.0,3.2,,5.67,,,16.5,,
4.8,7.25,,,,4.25,7.5,7.5,2.4,,6.42,,,19.0,,
3.6,7.5,,,,2.75,5.25,8.75,3.6,,5.58,,,15.5,,
2.8,4.5,,,,2.5,3.25,5.0,3.2,,3.58,,,10.25,,
4.8,5.0,,,,4.5,4.75,8.25,2.0,,5.83,,,14.25,,
2.6,6.5,,,,3.5,5.25,7.0,2.6,,5.25,,,15.25,,
3.0,7.75,,,,6.5,6.25,8.75,3.2,,7.17,,,20.5,,
2.4,4.75,,,,3.5,5.0,6.75,2.2,,5.08,,,13.25,,
3.0,4.75,,,,3.5,5.25,6.75,3.0,,5.17,,,13.5,,
5.6,4.5,,,,3.0,6.25,8.0,2.6,,5.75,,,13.75,,
6.2,5.0,5.75,4.5,4.5,3.5,6.0,6.5,4.4,4.92,5.33,16.45,15.2,14.5,,16.35
3.8,5.5,2.25,2.25,3.75,,,,2.2,2.75,,8.3,9.8,,,8.25
4.2,6.25,1.75,4.0,5.5,3.75,7.25,6.75,2.4,3.75,5.92,9.95,13.7,17.25,,8.35
3.8,5.0,,,,3.5,4.25,5.5,3.2,,4.42,,,12.75,12.0,
2.4,4.0,,,,4.5,5.0,6.5,3.6,,5.33,,,13.5,10.0,
4.2,2.75,,,,4.0,6.5,7.25,3.8,,5.92,,,13.25,,
6.6,7.5,,,,3.75,6.25,7.25,5.0,,5.75,,,17.5,,
4.4,5.25,,,,2.25,4.25,4.25,3.6,,3.58,,,11.75,,
2.2,4.5,,,,1.75,4.0,6.25,3.4,,4.0,,,10.25,,
7.4,8.5,,,,3.5,5.25,8.0,6.0,,5.58,,,17.25,,
3.6,6.75,,,,2.5,6.25,7.0,2.4,,5.25,,,15.5,,
5.2,5.25,,,,3.75,6.25,6.75,4.4,,5.58,,,15.25,,
5.8,5.5,,,,1.25,5.5,7.25,2.2,,4.67,,,12.25,,
2.4,3.5,,,,3.25,5.0,5.0,2.0,,4.42,,,11.75,,
6.0,5.0,,,,4.5,6.5,9.0,3.6,,6.67,,,16.0,,
5.8,5.0,,,,4.0,5.5,8.25,6.8,,5.92,,,14.5,,
3.6,4.0,,,,4.5,6.5,8.0,2.6,,6.33,,,15.0,,
3.2,2.75,,,,1.5,2.75,2.5,2.2,,2.25,,,7.0,,
3.0,6.0,,,,3.75,6.25,7.0,3.4,,5.67,,,16.0,,
2.8,5.5,,,,2.5,5.25,6.75,3.4,,4.83,,,13.25,,
6.4,9.0,,,,4.0,7.25,7.0,6.8,,6.08,,,20.25,,
4.2,5.0,,,,2.25,3.0,6.0,1.8,,3.75,,,10.25,11.0,
4.4,7.25,,,,5.75,8.0,8.25,4.6,,7.33,,,21.0,,
3.2,4.5,,,,3.0,3.75,3.75,2.4,,3.5,,,11.25,,
2.8,4.0,,,,3.75,4.75,8.0,3.4,,5.5,,,12.5,,
4.6,5.25,4.75,4.25,5.25,,,,2.4,4.75,,13.6,14.1,,,11.75
5.0,7.5,3.75,3.75,5.5,,,,2.4,4.33,,12.5,14.25,,,11.15
4.4,4.75,3.25,5.0,3.5,,,,4.6,3.92,,12.65,12.9,,,12.25
5.8,5.25,3.75,2.75,5.5,,,,2.8,4.0,,12.3,14.05,,,12.35
5.6,7.25,3.25,3.25,5.5,,,,4.0,4.0,,12.1,14.35,,,12.85
7.8,7.0,9.0,7.5,5.5,,,,5.0,7.33,,24.3,20.8,,,21.8
4.6,5.75,6.0,3.5,5.25,,,,2.8,4.92,,14.1,13.35,,,13.4
5.4,4.75,6.0,6.0,4.75,,,,3.2,5.58,,17.4,16.15,,,14.6
5.4,4.75,3.75,4.25,4.25,,,,2.6,4.08,,13.4,13.9,,,11.75
5.2,5.0,4.25,6.0,4.0,,,,2.2,4.75,,15.45,15.2,,,11.65
