Toan,Van,VatLy,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
8,"5,75","8,5","9,5","5,75",,,,"4,8","7,92",,26,"23,25",,"18,55","21,3"
"3,8","2,5",,,,"3,25","3,5","7,5","2,6",,"4,75",,,"9,25","8,9",
"3,6","5,5",,,,"3,25","4,25","7,5","2,4",,5,,,13,"11,5",
5,"7,25",,,,"7,5","5,25",,,,,,,20,,
"6,6",,"5,25","2,75",,,,,,,,"14,6",,,,
"1,6","3,25",,,,"1,75",2,"4,5","2,2",,"2,75",,,7,"7,05",
"2,8","6,25",,,,"6,75","6,5","7,5","2,2",,"6,92",,,"19,5","11,25",
6,"4,75","5,25",6,"4,25",,,,"2,6","5,17",,"17,25","16,25",,"13,35","13,85"
"3,8",5,,,,"3,5","6,25",7,"4,4",,"5,58",,,"14,75","13,2",
3,6,,,,"2,5","5,75",7,"2,6",,"5,08",,,"14,25","11,6",
"3,2",4,,,,4,6,"4,25",3,,"4,75",,,14,"10,2",
"3,4","4,25",3,"2,75",3,,,,"4,6","2,92",,"9,15","9,15",,"12,25",11
"3,2","4,25",3,"3,25",3,,,,3,"3,08",,"9,45","9,45",,"10,45","9,2"
4,"6,25",,,,"6,5","8,5","8,75","3,8",,"7,92",,,"21,25","14,05",
4,"8,25",,,,"3,25","6,25","6,5","1,6",,"5,33",,,"17,75","13,85",
"1,6",5,,,,"2,75","6,5",6,"2,8",,"5,08",,,"14,25","9,4",
"5,2",5,,,,"4,5","5,25","7,25",2,,"5,67",,,"14,75","12,2",
4,"4,58",,,,"2,25",5,"6,25","3,2",,"4,5",,,"11,83","11,78",
"6,8","5,75","5,5",5,"4,5",,,,"4,8",5,,"17,3","16,3",,"17,35","17,1"
6,"8,5",,,,"3,25","5,5","6,75",,,"5,17",,,"17,25",,
"5,8","7,25",3,"2,25","3,5",3,"5,25","6,5","7,2","2,92","4,92","11,05","11,55","15,5","20,25",16
"5,2",8,,,,5,"4,75","6,5","7,4",,"5,42",,,"17,75","20,6",
3,"7,25",,,,"5,5",8,"8,75","4,2",,"7,42",,,"20,75","14,45",
5,"6,75",,,,"5,5","7,25","8,25","8,2",,7,,,"19,5","19,95",
"6,2","6,75",,,,"3,25",6,"8,25",,,"5,83",,,16,,
"4,2","4,75",,,,"2,75","5,5","7,25","1,8",,"5,17",,,13,"10,75",
"3,6","5,5","2,25",3,"2,75","2,75",5,6,"1,8","2,67","4,58","8,85","9,35","13,25","10,9","7,65"
"3,2","6,5",,,,"3,5","6,25","7,75",4,,"5,83",,,"16,25","13,7",
"3,6",7,,,,2,"4,25","6,5","3,2",,"4,25",,,"13,25","13,8",
"5,6",5,"2,75","2,75","3,25",4,"5,25","5,75","1,8","2,92",5,"11,1","11,6","14,25","12,4","10,15"
"5,4","7,25",,,,"4,25","6,75",6,"5,4",,"5,67",,,"18,25","18,05",
"6,6","7,5",,,,"3,75","6,25","8,25",7,,"6,08",,,"17,5","21,1",
6,"7,25",,,,"3,75",6,"8,25","7,8",,6,,,17,"21,05",
"7,2",7,"4,75","7,75","3,25",,,,,"5,25",,"19,7","18,2",,,
"7,6","4,5","7,75","6,5","4,25",,,,"2,6","6,17",,"21,85","18,35",,"14,7","17,95"
"6,8","4,5","6,25","5,25",5,,,,7,"5,5",,"18,3","17,05",,"18,3","20,05"
"6,2","6,25","7,75","4,75","4,25",,,,"5,8","5,58",,"18,7","15,2",,"18,25","19,75"
6,"5,75",6,"4,75",5,,,,"3,4","5,25",,"16,75","15,75",,"15,15","15,4"
"5,6","4,75","6,25","4,75",3,,,,"2,2","4,67",,"16,6","13,35",,"12,55","14,05"
"6,2","5,75","6,5","4,25","4,25",,,,"6,2",5,,"16,95","14,7",,"18,15","18,9"
"5,6","5,5","3,75","3,75","3,75",,,,4,"3,75",,"13,1","13,1",,"15,1","13,35"
5,"5,25",4,5,"4,75",,,,"3,2","4,58",,14,"14,75",,"13,45","12,2"
"5,4","5,75",4,"5,75",4,,,,"3,4","4,58",,"15,15","15,15",,"14,55","12,8"
"6,6","3,75",6,"3,5","3,75",,,,"5,6","4,42",,"16,1","13,85",,"15,95","18,2"
"4,4",6,"5,25","2,25",4,,,,"2,6","3,83",,"11,9","10,65",,13,"12,25"
"6,6",6,5,"5,25","4,5",,,,"3,4","4,92",,"16,85","16,35",,16,15
"5,8","4,75","4,5","3,75","4,5",,,,"2,8","4,25",,"14,05","14,05",,"13,35","13,1"
"6,4","5,5","5,75","4,75","3,5",,,,"2,4","4,67",,"16,9","14,65",,"14,3","14,55"
6,4,6,"5,75",5,,,,3,"5,58",,"17,75","16,75",,13,15
6,"4,5","6,75","5,75","3,75",,,,"3,6","5,42",,"18,5","15,5",,"14,1","16,35"
"5,2",4,"5,5","6,25",6,,,,"4,4","5,92",,"16,95","17,45",,"13,6","15,1"
6,"5,5",7,"3,75","3,5",,,,4,"4,75",,"16,75","13,25",,"15,5",17
"2,2","6,75",,,,"3,75","5,75","7,5","3,6",,"5,67",,,"16,25","12,55",
"2,4",5,,,,"4,75",6,8,"2,6",,"6,25",,,"15,75",10,
"6,8","5,75","7,5",7,"4,75",,,,5,"6,42",,"21,3","18,55",,"17,55","19,3"
"2,4","3,25",,,,"1,25","4,25","5,75",3,,"3,75",,,"8,75","8,65",
"2,6","3,5",,,,3,4,"6,5","2,2",,"4,5",,,"10,5","8,3",
2,"4,5",,,,"4,25","6,75","6,5","2,4",,"5,83",,,"15,5","8,9",
"4,2",6,4,"4,25","5,25",,,,"2,6","4,5",,"12,45","13,7",,"12,8","10,8"
"2,2",6,,,,"2,75",5,"6,75",4,,"4,83",,,"13,75","12,2",
"4,6",5,,,,5,5,"7,25","3,6",,"5,75",,,15,"13,2",
