Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
5.8,7.5,4.75,4.75,4.75,,,,4.8,4.75,,15.3,15.3,,18.1,15.35
4.4,7.75,,,,3.75,6.5,9.0,2.8,,6.42,,,18.0,14.95,
6.2,6.75,,,,4.5,4.5,8.25,4.0,,5.75,,,15.75,16.95,
2.4,5.0,,,,1.75,4.25,7.0,2.8,,4.33,,,11.0,10.2,
2.8,5.5,,,,5.0,6.5,8.0,2.0,,6.5,,,17.0,10.3,
5.6,7.25,,,,6.5,8.5,8.25,4.4,,7.75,,,22.25,17.25,
4.0,4.0,,,,3.25,4.25,7.0,2.6,,4.83,,,11.5,10.6,
3.8,6.25,,,,2.75,5.0,6.75,2.2,,4.83,,,14.0,12.25,
5.6,7.0,,,,3.75,5.25,7.25,4.2,,5.42,,,16.0,16.8,
4.0,7.5,,,,3.0,6.0,7.75,2.4,,5.58,,,16.5,13.9,
4.2,5.5,,,,3.5,5.75,8.75,3.2,,6.0,,,14.75,12.9,
5.2,6.0,,,,2.5,6.25,6.75,3.0,,5.17,,,14.75,14.2,
5.0,7.5,,,,4.5,5.75,7.0,3.6,,5.75,,,17.75,16.1,
6.2,7.25,,,,6.0,6.25,8.75,7.0,,7.0,,,19.5,20.45,
5.0,6.0,,,,3.75,6.25,6.75,3.2,,5.58,,,16.0,14.2,
4.6,7.0,,,,5.25,6.5,7.5,3.0,,6.42,,,18.75,14.6,
6.2,7.5,,,,4.75,7.25,8.25,3.6,,6.75,,,19.5,17.3,
6.8,6.25,7.25,6.25,7.25,,,,3.2,6.92,,20.3,20.3,,16.25,17.25
5.8,5.75,6.5,4.75,4.5,,,,3.0,5.25,,17.05,15.05,,14.55,15.3
4.2,6.25,,,,4.0,4.5,7.0,2.6,,5.17,,,14.75,13.05,
3.4,8.0,,,,6.25,6.5,8.0,5.2,,6.92,,,20.75,16.6,
