Toan,Van,Ly,Hoa,Sinh,Su,Dia,GDCD,Anh,KHTN,KHXH,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
3.2,3.0,,,,2.75,3.5,,,,,,,9.25,,
5.6,,5.25,5.5,4.0,,,,,4.92,,16.35,15.1,,,
2.6,5.0,,,,3.25,3.75,,,,,,,12.0,,
3.4,5.5,,,,4.0,,,,,,,,,,
3.0,5.5,,,,3.5,3.5,,,,,,,12.5,,
2.8,2.75,,,,3.25,5.5,,,,,,,11.5,,
2.0,4.5,,,,2.5,6.5,,,,,,,13.5,,
3.8,3.75,,,,3.25,5.0,,,,,,,12.0,,
2.4,3.25,,,,3.5,5.25,,,,,,,12.0,,
2.6,5.5,,,,3.5,3.75,,,,,,,12.75,,
2.8,4.5,,,,5.5,7.0,,,,,,,17.0,,
3.2,6.25,,,,4.0,4.75,8.75,3.6,,5.83,,,15.0,13.05,
3.6,6.25,,,,3.25,5.0,6.75,4.8,,5.0,,,14.5,14.65,
4.2,7.75,,,,4.0,8.0,9.25,3.0,,7.08,,,19.75,14.95,
4.6,5.0,,,,4.75,6.25,8.75,4.4,,6.58,,,16.0,14.0,
3.6,5.0,,,,3.25,5.25,7.75,2.2,,5.42,,,13.5,10.8,
3.4,5.0,,,,3.25,3.25,5.25,3.2,,3.92,,,11.5,11.6,
4.0,7.0,,,,5.5,5.25,7.75,3.0,,6.17,,,17.75,14.0,
3.4,5.0,,,,2.5,4.5,6.0,3.0,,4.33,,,12.0,11.4,
4.2,5.0,,,,4.75,5.25,7.5,2.2,,5.83,,,15.0,11.4,
3.2,5.0,,,,3.25,3.75,4.75,2.0,,3.92,,,12.0,10.2,
2.6,3.5,,,,2.75,3.0,4.5,3.0,,3.42,,,9.25,9.1,
2.6,4.25,,,,6.0,6.75,8.75,2.2,,7.17,,,17.0,9.05,
3.2,5.25,,,,3.5,5.75,7.0,1.8,,5.42,,,14.5,10.25,
3.6,2.5,,,,3.75,5.75,7.5,2.6,,5.67,,,12.0,8.7,
2.8,4.25,,,,4.0,4.0,4.0,2.4,,4.0,,,12.25,9.45,
3.2,6.25,,,,3.5,5.0,5.25,2.8,,4.58,,,14.75,12.25,
4.8,7.5,,,,3.0,6.25,7.25,3.6,,5.5,,,16.75,15.9,
4.2,6.0,,,,4.5,3.75,,,,,,,14.25,,
3.0,2.75,,,,2.25,5.5,,,,,,,10.5,,
2.8,4.0,,,,3.0,4.75,,,,,,,11.75,,
2.6,4.0,,,,4.0,4.5,,,,,,,12.5,,
3.6,3.75,,,,2.5,5.0,,,,,,,11.25,,
2.0,3.0,,,,3.75,4.0,,,,,,,10.75,,
2.2,3.0,,,,3.0,3.75,,,,,,,9.75,,
2.6,3.25,,,,4.25,5.25,,,,,,,12.75,,
3.0,5.0,,,,3.75,5.5,,,,,,,14.25,,
3.2,3.5,,,,3.0,3.75,,,,,,,10.25,,
2.2,3.75,,,,3.25,2.25,,,,,,,9.25,,
2.6,4.0,,,,2.75,4.5,,,,,,,11.25,,
4.0,5.0,,,,3.5,5.75,,,,,,,14.25,,
1.8,5.0,,,,2.75,4.25,,,,,,,12.0,,
2.2,3.5,,,,2.75,3.5,,,,,,,9.75,,
2.4,3.75,,,,2.75,3.5,,,,,,,10.0,,
